instrument_id,option_type,strike_price,execution,expiration_in_mnths,number_of_instruments,und_spot_1,und_spot_2,und_spot_3,und_spot_4,und_spot_5,und_vol_1,und_vol_2,und_vol_3,und_vol_4,und_vol_5,und_corr_mat_00,und_corr_mat_01,und_corr_mat_02,und_corr_mat_03,und_corr_mat_04,und_corr_mat_10,und_corr_mat_11,und_corr_mat_12,und_corr_mat_13,und_corr_mat_14,und_corr_mat_20,und_corr_mat_21,und_corr_mat_22,und_corr_mat_23,und_corr_mat_24,und_corr_mat_30,und_corr_mat_31,und_corr_mat_32,und_corr_mat_33,und_corr_mat_34,und_corr_mat_40,und_corr_mat_41,und_corr_mat_42,und_corr_mat_43,und_corr_mat_44,earliest_date,latest_date,payoff_at_expiry,,
141,Put,99,European,6,5,100,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
142,Call,65,American,0,5,70,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,3,9,True,,
143,Put,97,European,3,5,80,95,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
144,Call,85,European,3,5,70,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
145,Put,96,European,6,5,102,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
146,Put,97,American,0,5,79,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,9,12,True,,
147,Call,10,European,3,5,100,100,100,110,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
148,Call,99,European,3,5,100,105,105,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
149,Put,190,European,6,5,100,105,100,105,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
150,Call,68,American,0,5,70,105,99,100,95,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,6,9,True,,
151,Put,142,European,3,5,100,95,70,80,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
152,Call,97,European,3,5,70,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
153,Put,125,European,6,5,102,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
154,Put,135,American,0,5,79,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,3,6,False,,
